Mon,Year,Temp
7,2000,22.8
8,2000,24.02
9,2000,19.97
10,2000,14.16
11,2000,8.61
12,2000,5.46
1,2001,3.71
2,2001,6.46
3,2001,10.57
4,2001,12.27
5,2001,19.26
6,2001,22.27
7,2001,24.85
8,2001,25.93
9,2001,17.15
10,2001,16.2
11,2001,6.93
12,2001,1.48
1,2002,1.62
2,2002,6.82
3,2002,11.39
4,2002,13.18
5,2002,17.34
6,2002,23.35
7,2002,23.07
8,2002,22.2
9,2002,18.14
10,2002,13.97
11,2002,10.61
12,2002,5.28
1,2003,3.55
2,2003,2.68
3,2003,10.52
4,2003,13.03
5,2003,21.02
6,2003,27.67
7,2003,26.84
8,2003,28.31
9,2003,19.24
10,2003,12.21
11,2003,9.07
12,2003,5.19
1,2004,3.25
2,2004,4.65
3,2004,8.21
4,2004,12.96
5,2004,16.36
6,2004,22.81
7,2004,24.92
8,2004,24.73
9,2004,20.54
10,2004,15.7
11,2004,8.51
12,2004,4.48
1,2005,2.61
2,2005,2.92
3,2005,9.27
4,2005,12.75
5,2005,19.97
6,2005,24.49
7,2005,25.21
8,2005,22.43
9,2005,19.77
10,2005,13.74
11,2005,7.29
12,2005,2.08
1,2006,1.31
2,2006,3.5
3,2006,8.1
4,2006,13.71
5,2006,18.17
6,2006,23.88
7,2006,27.37
8,2006,21.41
9,2006,20.93
10,2006,15.74
11,2006,9.88
12,2006,5.15
1,2007,6.13
2,2007,7.35
3,2007,10.38
4,2007,17.72
5,2007,19.99
6,2007,22.23
7,2007,25.72
8,2007,22.69
9,2007,18.81
10,2007,13.61
11,2007,7.46
12,2007,3.47
1,2008,5.19
2,2008,5.92
3,2008,9.77
4,2008,12.88
5,2008,18.3
6,2008,21.69
7,2008,23.61
8,2008,24.2
9,2008,18.32
10,2008,14.9
11,2008,8.78
12,2008,4.27
1,2009,1.74
2,2009,5.09
3,2009,9.62
4,2009,14.26
5,2009,20.57
6,2009,23.09
7,2009,24.89
8,2009,26.16
9,2009,20.77
10,2009,14.15
11,2009,9.6
12,2009,2.67
1,2010,2.01
2,2010,4.47
3,2010,8.54
4,2010,13.63
5,2010,16.99
6,2010,22.12
7,2010,26.62
8,2010,22.58
9,2010,18.18
10,2010,12.36
11,2010,8.86
12,2010,2.25
1,2011,2.83
2,2011,5.62
3,2011,9.47
4,2011,16.64
5,2011,20.55
6,2011,21.56
7,2011,23.2
8,2011,25.79
9,2011,21.83
10,2011,14.09
11,2011,7.87
12,2011,4.58
1,2012,3.15
2,2012,2.81
3,2012,12.51
4,2012,12.79
5,2012,17.94
6,2012,23.11
7,2012,25.41
8,2012,26.62
9,2012,19.8
10,2012,14.31
11,2012,9.87
12,2012,2.86
1,2013,4.31
2,2013,3.26
3,2013,7.27
4,2013,13.48
5,2013,16.16
6,2013,21.72
7,2013,26.01
8,2013,24.08
9,2013,19.89
10,2013,15.1
11,2013,9.34
12,2013,4.55
1,2014,5.78
2,2014,7.29
3,2014,11.45
4,2014,15.25
5,2014,17.99
6,2014,23.33
7,2014,22.55
8,2014,21.81
9,2014,19.7
10,2014,15.97
11,2014,11.11
12,2014,6.17
1,2015,4.99
2,2015,5.29
3,2015,10.11
4,2015,14.63
5,2015,18.78
6,2015,22.97
7,2015,28.3
8,2015,24.58
9,2015,18.87
10,2015,13.64
11,2015,8.91
12,2015,5.02
1,2016,3.87
2,2016,7.28
3,2016,9.63
4,2016,14.52
5,2016,16.82
6,2016,21.32
7,2016,24.55
8,2016,23.44
9,2016,21.24
10,2016,13.0
11,2016,8.8
12,2016,4.17
1,2017,1.33
2,2017,6.65
3,2017,12.02
4,2017,14.63
5,2017,19.08
6,2017,24.6
7,2017,24.63
8,2017,25.77
9,2017,18.01
10,2017,15.13
11,2017,8.18
12,2017,3.03
1,2018,6.01
2,2018,4.07
3,2018,7.65
4,2018,15.96
5,2018,18.87
6,2018,23.18
7,2018,25.43
8,2018,25.46
9,2018,20.86
10,2018,15.94
11,2018,10.54
12,2018,4.41
1,2019,3.65
2,2019,6.48
3,2019,11.31
4,2019,13.87
5,2019,15.82
6,2019,25.08
7,2019,26.24
8,2019,25.37
9,2019,19.89
10,2019,15.89
11,2019,9.85
12,2019,6.49
1,2020,4.16
2,2020,8.27
3,2020,9.53
4,2020,14.83
5,2020,19.36
6,2020,21.62
7,2020,25.29
8,2020,24.65
9,2020,20.25
