Mon,Year,Temp
1,1980,2.36
2,1980,5.13
3,1980,8.18
4,1980,11.42
5,1980,14.96
6,1980,19.2
7,1980,21.28
8,1980,23.96
9,1980,20.57
10,1980,13.05
11,1980,6.22
12,1980,2.56
1,1981,1.69
2,1981,3.24
3,1981,10.01
4,1981,13.58
5,1981,16.21
6,1981,21.13
7,1981,21.65
8,1981,22.25
9,1981,18.93
10,1981,13.19
11,1981,6.31
12,1981,1.94
1,1982,1.9
2,1982,3.06
3,1982,7.66
4,1982,12.28
5,1982,17.54
6,1982,22.72
7,1982,24.97
8,1982,21.52
9,1982,20.1
10,1982,12.34
11,1982,8.42
12,1982,4.36
1,1983,3.63
2,1983,2.15
3,1983,8.83
4,1983,12.62
5,1983,15.56
6,1983,20.87
7,1983,26.77
8,1983,23.28
9,1983,19.36
10,1983,13.77
11,1983,6.27
12,1983,2.57
1,1984,2.61
2,1984,3.47
3,1984,7.2
4,1984,11.62
5,1984,13.34
6,1984,19.72
7,1984,24.2
8,1984,21.68
9,1984,16.99
10,1984,13.16
11,1984,7.57
12,1984,3.8
1,1985,-1.65
2,1985,2.43
3,1985,7.32
4,1985,12.55
5,1985,16.34
6,1985,19.62
7,1985,24.6
8,1985,23.41
9,1985,20.58
10,1985,14.24
11,1985,6.0
12,1985,4.67
1,1986,2.47
2,1986,1.4
3,1986,7.54
4,1986,11.66
5,1986,19.09
6,1986,20.49
7,1986,22.99
8,1986,22.79
9,1986,18.6
10,1986,14.03
11,1986,7.94
12,1986,2.7
1,1987,-0.3
2,1987,3.73
3,1987,5.34
4,1987,12.92
5,1987,15.48
6,1987,19.79
7,1987,24.05
8,1987,22.72
9,1987,21.29
10,1987,13.82
11,1987,8.13
12,1987,4.48
1,1988,5.14
2,1988,5.46
3,1988,8.97
4,1988,13.06
5,1988,17.35
6,1988,19.39
7,1988,23.54
8,1988,23.24
9,1988,18.67
10,1988,15.07
11,1988,4.71
12,1988,3.63
1,1989,1.89
2,1989,5.78
3,1989,11.04
4,1989,11.87
5,1989,18.41
6,1989,20.45
7,1989,23.58
8,1989,23.59
9,1989,18.45
10,1989,12.61
11,1989,6.18
12,1989,2.68
1,1990,1.53
2,1990,7.41
3,1990,11.23
4,1990,11.82
5,1990,18.74
6,1990,20.22
7,1990,23.44
8,1990,23.38
9,1990,19.14
10,1990,14.44
11,1990,6.81
12,1990,1.56
1,1991,2.56
2,1991,2.14
3,1991,11.22
4,1991,11.5
5,1991,14.73
6,1991,20.75
7,1991,26.0
8,1991,25.87
9,1991,21.07
10,1991,11.98
11,1991,6.69
12,1991,1.23
1,1992,2.1
2,1992,5.14
3,1992,9.18
4,1992,12.47
5,1992,18.85
6,1992,19.05
7,1992,22.88
8,1992,24.95
9,1992,18.79
10,1992,11.8
11,1992,8.67
12,1992,4.11
1,1993,3.94
2,1993,3.9
3,1993,8.36
4,1993,12.85
5,1993,18.41
6,1993,21.96
7,1993,22.09
8,1993,24.72
9,1993,17.96
10,1993,13.1
11,1993,6.71
12,1993,4.44
1,1994,5.15
2,1994,4.56
3,1994,12.13
4,1994,12.33
5,1994,17.52
6,1994,21.3
7,1994,26.09
8,1994,25.51
9,1994,18.17
10,1994,12.53
11,1994,9.79
12,1994,5.01
1,1995,2.85
2,1995,6.52
3,1995,7.9
4,1995,13.43
5,1995,17.09
6,1995,19.28
7,1995,25.49
8,1995,22.65
9,1995,16.9
10,1995,14.63
11,1995,7.76
12,1995,3.89
1,1996,4.17
2,1996,3.74
3,1996,7.64
4,1996,13.84
5,1996,17.43
6,1996,23.31
7,1996,22.75
8,1996,21.86
9,1996,16.21
10,1996,13.55
11,1996,8.98
12,1996,4.57
1,1997,3.56
2,1997,6.46
3,1997,12.31
4,1997,13.66
5,1997,19.43
6,1997,20.55
7,1997,22.57
8,1997,23.58
9,1997,20.28
10,1997,14.25
11,1997,8.35
12,1997,4.8
1,1998,3.85
2,1998,7.14
3,1998,9.65
4,1998,12.89
5,1998,18.83
6,1998,22.48
7,1998,25.3
8,1998,25.7
9,1998,18.74
10,1998,13.49
11,1998,6.11
12,1998,2.73
1,1999,4.19
2,1999,4.46
3,1999,9.75
4,1999,13.6
5,1999,19.26
6,1999,21.73
7,1999,25.82
8,1999,23.71
9,1999,20.38
10,1999,14.05
11,1999,7.15
12,1999,3.05
1,2000,2.63
2,2000,6.51
3,2000,10.6
4,2000,13.83
5,2000,19.48
6,2000,23.17
